date,ticker,ret_10d,signal,confidence,regime
2007-08-10 13:30:00+00:00,HD,-3.96014954306289,1,0.28,FLAT
2007-08-13 13:30:00+00:00,HON,0.1919139126375576,1,0.5,BULL
2007-08-13 13:30:00+00:00,SPY,0.6272511880794862,1,0.5,BULL
2007-08-16 13:30:00+00:00,MCD,-1.0476827365391939,1,1.0,BULL
2007-08-16 13:30:00+00:00,WMT,-3.391963595495066,1,0.2,FLAT
2007-08-16 13:30:00+00:00,SPY,-0.03174565152257489,1,1.0,BULL
2007-08-17 13:30:00+00:00,HON,1.789224832359431,1,0.5,BULL
2007-08-17 13:30:00+00:00,SPY,1.51456721658896,1,1.0,BULL
2007-08-17 13:30:00+00:00,QQQ,4.9974217944310775,1,0.5,BULL
2007-08-20 13:30:00+00:00,HON,1.7475402008742709,1,0.5,BULL
2007-08-20 13:30:00+00:00,MCD,2.1852751142022107,1,0.5,BULL
2007-08-20 13:30:00+00:00,WMT,-0.7700051288666636,1,0.2,FLAT
2007-08-20 13:30:00+00:00,QQQ,6.715403194417112,1,0.5,BULL
2007-08-21 13:30:00+00:00,MCD,1.0901681414112423,1,0.5,BULL
2007-08-21 13:30:00+00:00,WMT,-3.1617653308730267,1,0.28,FLAT
2007-08-21 13:30:00+00:00,SPY,1.1172917559399727,1,1.0,BULL
2007-08-22 13:30:00+00:00,HON,0.716353070738156,1,0.5,BULL
2007-08-22 13:30:00+00:00,WMT,-2.4412727689478353,1,0.28,FLAT
2007-08-23 13:30:00+00:00,HON,-1.9463606331126042,1,1.0,BULL
2007-08-24 13:30:00+00:00,WMT,-3.530590148195861,1,0.28,FLAT
2007-08-27 13:30:00+00:00,WMT,-1.8065194545056265,1,0.28,FLAT
2007-08-29 13:30:00+00:00,WMT,-0.4600387457258718,1,0.2,FLAT
2007-08-31 13:30:00+00:00,WMT,-0.5212257726029356,1,0.28,FLAT
2007-09-04 13:30:00+00:00,IBM,-0.8585512155496466,-1,0.25,BULL
2007-09-05 13:30:00+00:00,IBM,-1.2701923500460086,-1,0.25,BULL
2007-09-10 13:30:00+00:00,HON,5.105794645097954,1,0.5,BULL
2007-09-14 13:30:00+00:00,MCD,-1.7319141259245914,-1,0.25,BULL
2007-09-18 13:30:00+00:00,PEP,3.701813605215823,-1,0.25,BULL
2007-09-19 13:30:00+00:00,MCD,1.128269594016761,-1,0.25,BULL
2007-09-19 13:30:00+00:00,PEP,3.53430054596834,-1,0.25,BULL
2007-09-20 13:30:00+00:00,PEP,3.233814976075185,-1,0.25,BULL
2007-09-21 13:30:00+00:00,PEP,3.0535961500612765,-1,0.5,BULL
2007-09-24 13:30:00+00:00,PEP,4.1748739675714654,-1,0.25,BULL
2007-09-25 13:30:00+00:00,PEP,2.4045138885246167,-1,0.25,BULL
2007-09-25 13:30:00+00:00,QQQ,3.854357163648255,-1,0.25,BULL
2007-09-26 13:30:00+00:00,PEP,1.7108551213225922,-1,0.5,BULL
2007-09-26 13:30:00+00:00,QQQ,3.6031501791544995,-1,0.25,BULL
2007-09-27 13:30:00+00:00,PEP,-1.2914481190973288,-1,0.5,BULL
2007-09-27 13:30:00+00:00,QQQ,2.074065143257435,-1,0.25,BULL
2007-09-28 13:30:00+00:00,PEP,-2.491362002095495,-1,0.5,BULL
2007-09-28 13:30:00+00:00,QQQ,3.88526626300263,-1,0.25,BULL
2007-10-01 13:30:00+00:00,AAPL,6.478753073561815,-1,0.25,BULL
2007-10-01 13:30:00+00:00,PEP,-3.8552101440487276,-1,0.5,BULL
2007-10-01 13:30:00+00:00,QQQ,2.0086995446287013,-1,0.5,BULL
2007-10-02 13:30:00+00:00,AAPL,7.331167247707855,-1,0.25,BULL
2007-10-02 13:30:00+00:00,PEP,-2.4168496379022764,-1,0.5,BULL
2007-10-02 13:30:00+00:00,QQQ,1.8748655630409055,-1,0.25,BULL
2007-10-03 13:30:00+00:00,AAPL,9.019419179626714,-1,0.25,BULL
2007-10-03 13:30:00+00:00,PEP,-1.3502484664519272,-1,0.5,BULL
2007-10-03 13:30:00+00:00,QQQ,3.3803741384968777,-1,0.25,BULL
2007-10-04 13:30:00+00:00,PEP,-3.172356747792246,-1,0.5,BULL
2007-10-04 13:30:00+00:00,QQQ,2.9203525647864783,-1,0.25,BULL
2007-10-05 13:30:00+00:00,AAPL,3.9247590469356655,-1,0.25,BULL
2007-10-05 13:30:00+00:00,PEP,-4.289322217533519,-1,0.5,BULL
2007-10-05 13:30:00+00:00,QQQ,-0.766390401483396,-1,0.5,BULL
2007-10-08 13:30:00+00:00,AAPL,2.1782438999929443,-1,0.5,BULL
2007-10-08 13:30:00+00:00,MCD,-1.8852670622781582,-1,0.25,BULL
2007-10-08 13:30:00+00:00,PEP,-3.1384278981688123,-1,0.5,BULL
2007-10-08 13:30:00+00:00,PG,-0.2876461459175751,-1,0.5,BULL
2007-10-08 13:30:00+00:00,QQQ,-0.45391281512605275,-1,0.5,BULL
2007-10-09 13:30:00+00:00,AAPL,10.956141369475613,-1,0.5,BULL
2007-10-09 13:30:00+00:00,MCD,-0.5672397242342313,-1,0.25,BULL
2007-10-09 13:30:00+00:00,PEP,-2.7715596930223607,-1,0.25,BULL
2007-10-09 13:30:00+00:00,PG,0.06740437951530609,-1,0.5,BULL
2007-10-09 13:30:00+00:00,QQQ,1.4112791524725687,-1,0.5,BULL
2007-10-10 13:30:00+00:00,AAPL,8.504447320386975,-1,0.5,BULL
2007-10-10 13:30:00+00:00,COST,-5.592910150193211,-1,0.5,BULL
2007-10-10 13:30:00+00:00,MCD,-0.5343300207111374,-1,0.25,BULL
2007-10-10 13:30:00+00:00,PEP,-3.14051370602202,-1,0.5,BULL
2007-10-10 13:30:00+00:00,PG,-0.45600854254237866,-1,0.5,BULL
2007-10-10 13:30:00+00:00,QQQ,-0.344706862018465,-1,0.5,BULL
2007-10-11 13:30:00+00:00,COST,-5.031193702476147,-1,0.5,BULL
2007-10-11 13:30:00+00:00,PG,-0.8614410098075752,-1,0.5,BULL
2007-10-11 13:30:00+00:00,QQQ,0.14348740095822132,-1,0.25,BULL
2007-10-12 13:30:00+00:00,AAPL,9.55767076691076,-1,0.5,BULL
2007-10-12 13:30:00+00:00,COST,-3.6380198758605244,-1,0.5,BULL
2007-10-12 13:30:00+00:00,PG,-0.03203015552270714,-1,0.5,BULL
2007-10-12 13:30:00+00:00,QQQ,0.40771721979264647,-1,0.5,BULL
2007-10-15 13:30:00+00:00,AAPL,11.471131192986519,-1,0.25,BULL
2007-10-15 13:30:00+00:00,COST,0.6565208899839214,-1,0.5,BULL
2007-10-15 13:30:00+00:00,PG,1.0537260160418924,-1,0.5,BULL
2007-10-15 13:30:00+00:00,QQQ,2.4787307910799714,-1,0.25,BULL
2007-10-16 13:30:00+00:00,AAPL,8.045021809965995,-1,0.5,BULL
2007-10-16 13:30:00+00:00,COST,0.6022502546892973,-1,0.25,BULL
2007-10-16 13:30:00+00:00,PG,-2.4669703227996713,-1,0.5,BULL
2007-10-16 13:30:00+00:00,QQQ,1.0089522877070591,-1,0.25,BULL
2007-10-17 13:30:00+00:00,AAPL,10.555601575650549,-1,0.5,BULL
2007-10-17 13:30:00+00:00,COST,1.0911564012384798,-1,0.25,BULL
